months_as_customer,age,policy_bind_date,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,incident_severity,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
174,36,2005-10-14,IL,2000,1278.75,0,FEMALE,College,tech-support,own-child,53200,-53800,2015-02-06,Multi-vehicle Collision,Total Loss,NY,Riverwood,21,3,?,2,2,65400,10900,10900,43600,Dodge,RAM,2012,N
95,28,1990-11-03,OH,1000,773.99,0,MALE,Associate,armed-forces,other-relative,0,-70300,2015-01-01,Vehicle Theft,Trivial Damage,PA,Springfield,3,1,YES,1,2,3200,640,320,2240,Mercedes,E400,2014,N
371,51,2005-10-15,IN,1000,1532.47,0,FEMALE,Associate,tech-support,other-relative,60300,-24700,2015-01-19,Single Vehicle Collision,Major Damage,NY,Arlington,7,1,YES,0,3,75400,7540,15080,52780,Dodge,RAM,2012,Y
2,28,1999-05-22,IL,1000,1340.56,0,FEMALE,JD,machine-op-inspct,not-in-family,0,0,2015-01-17,Single Vehicle Collision,Minor Damage,NY,Northbend,19,1,YES,0,2,58140,6460,6460,45220,Saab,92x,2008,N
269,44,2002-12-21,OH,500,1297.75,4000000,FEMALE,JD,other-service,own-child,0,-41400,2015-02-01,Multi-vehicle Collision,Total Loss,SC,Columbus,15,3,?,0,1,98670,15180,15180,68310,Chevrolet,Tahoe,2010,Y
101,27,2007-02-10,IL,1000,433.33,0,MALE,Masters,machine-op-inspct,other-relative,25900,0,2015-01-02,Parked Car,Minor Damage,SC,Hillsdale,7,1,?,0,3,5900,1180,590,4130,Mercedes,E400,2009,N
94,30,2002-03-01,IN,2000,1025.54,0,FEMALE,High School,armed-forces,other-relative,0,-52600,2015-02-20,Single Vehicle Collision,Major Damage,NC,Arlington,19,1,?,1,3,64100,6410,6410,51280,Chevrolet,Malibu,2001,N
117,28,2003-04-21,OH,500,1264.77,0,FEMALE,Associate,transport-moving,unmarried,47500,-32500,2015-02-05,Multi-vehicle Collision,Total Loss,SC,Springfield,13,2,YES,0,1,55440,5040,10080,40320,Suburu,Forrestor,2009,Y
111,27,2002-09-22,OH,500,1459.97,5000000,MALE,MD,sales,other-relative,0,0,2015-02-27,Multi-vehicle Collision,Major Damage,SC,Northbend,2,3,NO,1,2,80850,7350,14700,58800,Ford,F150,2011,Y
242,40,1998-02-10,OH,500,1238.65,0,FEMALE,High School,transport-moving,husband,0,-44600,2015-01-27,Vehicle Theft,Trivial Damage,WV,Springfield,5,1,YES,1,1,7480,680,680,6120,Saab,95,1998,N
440,61,1992-09-01,OH,500,1050.76,0,MALE,PhD,transport-moving,wife,41500,-70200,2015-01-26,Single Vehicle Collision,Major Damage,OH,Riverwood,21,1,?,2,3,53640,5960,5960,41720,Nissan,Maxima,2004,Y
20,23,1999-05-01,OH,1000,1711.72,0,FEMALE,JD,tech-support,wife,0,0,2015-01-13,Multi-vehicle Collision,Major Damage,SC,Northbrook,21,3,NO,2,2,63250,5750,11500,46000,Chevrolet,Tahoe,2002,Y
461,57,1997-12-19,IL,500,865.33,7000000,FEMALE,High School,farming-fishing,own-child,0,0,2015-01-14,Multi-vehicle Collision,Major Damage,NY,Hillsdale,7,3,NO,0,1,59040,9840,9840,39360,Dodge,RAM,1995,N
208,36,2000-06-18,IL,500,1153.49,0,MALE,Associate,craft-repair,other-relative,0,0,2015-02-22,Multi-vehicle Collision,Total Loss,SC,Arlington,16,3,YES,1,0,50500,10100,5050,35350,Accura,TL,2004,N
279,43,1995-04-24,OH,2000,1281.25,0,MALE,Associate,machine-op-inspct,other-relative,0,0,2015-01-17,Single Vehicle Collision,Major Damage,SC,Columbus,13,1,YES,0,1,57690,6410,12820,38460,Mercedes,C300,2010,Y
244,40,2006-06-16,IL,500,1342.8,0,FEMALE,MD,sales,husband,0,0,2015-02-02,Vehicle Theft,Trivial Damage,NY,Springfield,2,1,YES,1,3,5940,660,660,4620,Toyota,Camry,2014,N
134,30,2007-09-28,OH,2000,1443.32,0,FEMALE,PhD,exec-managerial,unmarried,0,0,2015-01-07,Multi-vehicle Collision,Major Damage,SC,Northbend,19,3,?,0,2,47790,5310,5310,37170,Suburu,Impreza,1995,Y
122,29,1991-11-21,OH,1000,1629.94,0,FEMALE,Masters,priv-house-serv,other-relative,0,-47100,2015-02-02,Parked Car,Trivial Damage,SC,Riverwood,17,1,?,0,1,3850,350,350,3150,Dodge,Neon,2014,N
156,31,1996-09-21,IL,2000,1134.08,0,MALE,PhD,other-service,husband,0,0,2015-02-07,Single Vehicle Collision,Major Damage,NC,Arlington,3,1,?,2,0,59000,5900,5900,47200,Ford,Fusion,2013,Y
232,43,2001-05-16,OH,500,1483.91,8000000,MALE,College,machine-op-inspct,husband,0,-33600,2015-01-18,Multi-vehicle Collision,Major Damage,NY,Arlington,17,3,NO,0,1,70600,7060,14120,49420,Volkswagen,Passat,2013,Y
244,40,1999-08-11,IN,2000,1304.67,7000000,MALE,Masters,armed-forces,other-relative,0,-45000,2015-01-10,Multi-vehicle Collision,Minor Damage,SC,Hillsdale,5,3,?,1,1,61490,5590,11180,44720,Dodge,RAM,2001,N
84,30,2003-06-16,IL,2000,1035.79,0,FEMALE,MD,protective-serv,wife,44400,-51500,2015-01-30,Single Vehicle Collision,Minor Damage,SC,Northbend,9,1,NO,1,0,57640,5240,10480,41920,Volkswagen,Passat,2010,N
394,57,1999-03-30,IL,500,1401.2,0,FEMALE,High School,craft-repair,own-child,51500,0,2015-01-25,Vehicle Theft,Trivial Damage,NC,Hillsdale,9,1,NO,1,0,6890,1060,1060,4770,Audi,A5,1999,N
246,45,1999-02-03,IL,1000,1665.45,0,MALE,JD,machine-op-inspct,wife,34400,-33100,2015-01-29,Multi-vehicle Collision,Major Damage,PA,Columbus,9,3,?,2,2,53280,11840,5920,35520,Toyota,Camry,2006,Y
35,29,2011-08-25,IN,2000,653.66,0,FEMALE,JD,handlers-cleaners,unmarried,52100,-46900,2015-02-24,Multi-vehicle Collision,Minor Damage,SC,Springfield,22,3,NO,0,0,78300,15660,7830,54810,BMW,X5,2009,N
156,37,2010-06-28,OH,500,1080.13,0,MALE,Associate,protective-serv,other-relative,0,-61000,2015-01-04,Multi-vehicle Collision,Major Damage,PA,Springfield,15,3,YES,0,3,41490,4610,4610,32270,Nissan,Pathfinder,2001,N
195,36,2001-11-06,IN,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,wife,57800,-53300,2015-02-25,Multi-vehicle Collision,Total Loss,SC,Hillsdale,14,3,YES,2,3,68970,12540,6270,50160,Chevrolet,Tahoe,2007,N
369,55,2013-04-15,OH,2000,1589.54,0,MALE,College,handlers-cleaners,husband,55400,0,2015-01-27,Multi-vehicle Collision,Minor Damage,VA,Arlington,6,3,?,2,0,85300,17060,8530,59710,Toyota,Highlander,2003,N
271,40,1995-12-07,IL,1000,1251.65,0,FEMALE,Associate,other-service,wife,71200,0,2015-02-19,Parked Car,Minor Damage,NY,Hillsdale,6,1,NO,0,0,3080,560,280,2240,Audi,A3,2012,N
332,47,1991-11-01,IL,2000,1083.01,0,MALE,MD,craft-repair,other-relative,91900,0,2015-01-31,Multi-vehicle Collision,Major Damage,WV,Arlington,22,4,YES,2,0,71760,11040,11040,49680,Jeep,Grand Cherokee,2010,Y
107,26,2014-05-19,OH,500,974.59,0,FEMALE,JD,armed-forces,wife,62800,0,2015-01-18,Multi-vehicle Collision,Minor Damage,NY,Arlington,14,3,?,1,0,59700,11940,11940,35820,Nissan,Ultima,2002,N
217,39,1992-03-15,IL,2000,1399.85,0,FEMALE,Masters,other-service,other-relative,49900,-19800,2015-01-10,Multi-vehicle Collision,Minor Damage,NY,Columbus,16,3,NO,0,2,64920,10820,10820,43280,Ford,Fusion,1997,N
243,43,2006-02-03,IN,500,1307.74,0,FEMALE,Associate,machine-op-inspct,own-child,0,-75700,2015-01-28,Multi-vehicle Collision,Major Damage,SC,Riverwood,10,3,?,0,1,37530,4170,4170,29190,Jeep,Wrangler,2008,N
296,42,2003-03-16,IN,2000,1219.27,0,MALE,Associate,tech-support,husband,53100,-63400,2015-02-16,Multi-vehicle Collision,Total Loss,WV,Columbus,9,3,YES,1,2,64080,7120,7120,49840,Saab,93,2012,N
264,41,2002-10-16,OH,500,1411.3,0,MALE,PhD,prof-specialty,unmarried,55600,0,2015-02-08,Single Vehicle Collision,Minor Damage,PA,Northbrook,4,1,NO,1,0,60390,10980,5490,43920,BMW,M5,2004,Y
108,33,1990-01-27,IL,2000,694.45,0,FEMALE,JD,armed-forces,not-in-family,0,0,2015-01-20,Multi-vehicle Collision,Major Damage,WV,Northbend,6,3,?,0,1,64350,5850,11700,46800,Nissan,Pathfinder,2011,Y
32,38,2010-03-11,IL,500,1006.77,6000000,FEMALE,College,other-service,own-child,0,0,2015-02-06,Multi-vehicle Collision,Minor Damage,SC,Northbend,15,3,YES,2,1,70900,14180,7090,49630,BMW,X6,1997,N
259,39,1995-09-19,OH,1000,1422.36,0,FEMALE,JD,craft-repair,unmarried,0,-83900,2015-01-24,Multi-vehicle Collision,Minor Damage,PA,Columbus,12,3,NO,1,3,46560,7760,7760,31040,Nissan,Ultima,2012,N
186,33,2010-02-27,IN,1000,1348.32,0,FEMALE,Associate,craft-repair,wife,37600,-37600,2015-01-14,Vehicle Theft,Trivial Damage,NY,Arlington,3,1,NO,2,1,4730,860,860,3010,Chevrolet,Malibu,2013,Y
201,40,1991-12-28,OH,2000,1315.56,0,FEMALE,PhD,transport-moving,not-in-family,0,0,2015-02-18,Vehicle Theft,Minor Damage,SC,Northbrook,14,1,YES,0,0,6820,1240,1240,4340,Jeep,Grand Cherokee,2003,N
436,58,2002-04-30,OH,2000,1407.01,5000000,MALE,PhD,tech-support,other-relative,47400,-27600,2015-01-10,Single Vehicle Collision,Major Damage,WV,Riverwood,10,1,?,0,2,59900,11980,5990,41930,BMW,X5,1997,Y
189,36,2007-04-28,OH,2000,1388.58,0,FEMALE,MD,priv-house-serv,own-child,0,-49400,2015-02-13,Multi-vehicle Collision,Major Damage,WV,Riverwood,17,3,?,1,3,79560,13260,13260,53040,Ford,Escape,2009,N
105,33,1996-07-08,IL,500,1310.76,0,FEMALE,High School,adm-clerical,not-in-family,0,-40900,2015-02-17,Single Vehicle Collision,Total Loss,VA,Northbrook,8,1,YES,0,1,70290,12780,6390,51120,Accura,MDX,2008,N
163,31,2002-04-01,IN,1000,1004.63,6000000,MALE,JD,priv-house-serv,not-in-family,26900,0,2015-01-07,Multi-vehicle Collision,Total Loss,SC,Hillsdale,14,3,YES,2,0,63910,5810,11620,46480,Suburu,Forrestor,1999,N
219,40,2006-10-29,OH,500,1134.91,0,FEMALE,Associate,transport-moving,not-in-family,68700,0,2015-01-29,Vehicle Theft,Trivial Damage,SC,Riverwood,6,1,?,1,0,6400,640,640,5120,Toyota,Camry,1997,N
88,25,2007-10-25,IN,1000,1194.0,0,FEMALE,JD,handlers-cleaners,husband,0,0,2015-02-13,Single Vehicle Collision,Major Damage,SC,Northbrook,6,1,YES,1,2,66780,7420,7420,51940,Ford,Escape,2013,Y
40,39,2001-03-28,IN,1000,1248.25,4000000,FEMALE,College,sales,own-child,0,-33300,2015-02-01,Parked Car,Minor Damage,VA,Northbrook,8,1,NO,0,2,8760,1460,1460,5840,BMW,3 Series,2013,N
284,42,1995-05-04,OH,500,1338.54,-1000000,MALE,Associate,machine-op-inspct,wife,0,0,2015-01-29,Single Vehicle Collision,Major Damage,NC,Arlington,13,1,YES,0,1,94160,8560,17120,68480,Chevrolet,Malibu,1996,N
59,40,2011-09-28,IL,2000,782.23,0,MALE,College,protective-serv,other-relative,64200,-32300,2015-02-06,Multi-vehicle Collision,Total Loss,OH,Springfield,0,3,?,0,2,51570,5730,11460,34380,BMW,X5,2010,N
39,31,2003-01-28,IL,2000,1366.9,0,FEMALE,High School,handlers-cleaners,husband,0,-15700,2015-01-28,Multi-vehicle Collision,Major Damage,NC,Northbend,14,3,?,1,0,52700,10540,10540,31620,BMW,X6,2014,Y
147,34,2011-02-01,IL,1000,1275.81,0,MALE,High School,sales,wife,0,-48300,2015-01-21,Single Vehicle Collision,Minor Damage,NY,Columbus,13,1,YES,2,2,101010,15540,15540,69930,Mercedes,ML350,1998,N
156,37,1993-02-09,IN,500,1090.65,0,MALE,High School,exec-managerial,unmarried,0,-51800,2015-01-16,Multi-vehicle Collision,Minor Damage,NC,Columbus,16,4,?,1,2,53400,5340,5340,42720,Honda,Civic,2010,Y
123,31,2005-08-05,IN,500,1326.0,0,FEMALE,Associate,prof-specialty,wife,0,-54600,2015-02-17,Single Vehicle Collision,Total Loss,SC,Northbrook,13,1,?,1,2,72120,12020,12020,48080,Mercedes,ML350,2009,N
231,43,2006-06-17,IL,2000,972.47,0,MALE,College,protective-serv,wife,0,-58100,2015-02-01,Multi-vehicle Collision,Minor Damage,PA,Hillsdale,15,3,YES,2,2,77100,7710,15420,53970,Audi,A3,2010,N
247,39,1993-12-07,IL,500,806.31,0,FEMALE,College,handlers-cleaners,wife,0,0,2015-02-25,Parked Car,Trivial Damage,SC,Northbend,3,1,?,2,3,3300,600,0,2700,Dodge,RAM,2003,N
194,35,2012-03-14,IL,500,1416.24,0,FEMALE,MD,adm-clerical,not-in-family,0,0,2015-02-26,Parked Car,Minor Damage,WV,Northbend,7,1,YES,1,0,5940,1080,540,4320,Nissan,Pathfinder,2003,N
119,27,1997-08-05,IN,2000,1097.64,0,MALE,High School,transport-moving,other-relative,27100,0,2015-02-06,Multi-vehicle Collision,Major Damage,PA,Northbend,16,2,NO,1,0,63720,7080,21240,35400,Accura,TL,2006,N
259,43,2009-07-05,IL,500,947.75,0,FEMALE,Masters,farming-fishing,not-in-family,0,-39300,2015-02-03,Vehicle Theft,Trivial Damage,SC,Riverwood,15,1,NO,1,3,7680,1280,640,5760,Audi,A5,2008,N
107,31,1994-11-25,IL,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,own-child,20000,-82700,2015-01-27,Multi-vehicle Collision,Total Loss,NY,Riverwood,21,3,YES,1,2,93730,14420,21630,57680,Honda,CRV,2001,N
48,44,1997-02-03,IL,2000,1400.74,0,MALE,College,sales,other-relative,34000,-55600,2015-01-21,Multi-vehicle Collision,Major Damage,NC,Arlington,23,3,YES,0,2,87300,17460,17460,52380,Jeep,Wrangler,2013,N
267,40,2009-10-09,IL,500,1155.53,5000000,MALE,JD,transport-moving,wife,0,-35200,2015-01-24,Parked Car,Trivial Damage,NY,Columbus,5,1,?,0,2,5670,1260,630,3780,Ford,F150,1997,N
286,47,2002-11-20,IN,500,1386.93,0,MALE,High School,priv-house-serv,husband,54100,-77600,2015-01-17,Multi-vehicle Collision,Minor Damage,NY,Springfield,15,3,YES,0,0,65800,13160,6580,46060,Accura,TL,2001,N
175,34,1995-05-29,OH,500,915.29,0,FEMALE,JD,handlers-cleaners,wife,82400,-57100,2015-02-23,Single Vehicle Collision,Major Damage,NY,Arlington,14,1,?,2,1,36720,4080,4080,28560,Honda,Accord,2009,Y
111,29,2011-01-22,IL,500,1239.55,2000000,FEMALE,PhD,farming-fishing,own-child,0,0,2015-01-09,Single Vehicle Collision,Major Damage,SC,Riverwood,1,1,?,1,1,52800,4800,9600,38400,Mercedes,ML350,1996,Y
151,37,2012-10-18,IN,500,1366.42,0,FEMALE,Associate,protective-serv,unmarried,44000,0,2015-02-15,Multi-vehicle Collision,Total Loss,SC,Arlington,14,3,NO,1,2,59100,5910,5910,47280,Nissan,Maxima,1998,Y
156,37,1991-10-13,OH,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,unmarried,0,-53800,2015-01-16,Multi-vehicle Collision,Total Loss,NY,Northbrook,17,3,?,1,1,77440,14080,7040,56320,Suburu,Legacy,1999,N
165,36,2010-10-01,IL,2000,1247.87,0,MALE,Masters,armed-forces,husband,0,-39700,2015-01-14,Multi-vehicle Collision,Total Loss,NY,Northbend,20,3,NO,2,2,45700,4570,4570,36560,BMW,3 Series,2008,N
253,41,2013-04-10,OH,2000,1312.75,0,FEMALE,PhD,sales,other-relative,81300,0,2015-01-01,Multi-vehicle Collision,Major Damage,SC,Springfield,10,3,NO,2,2,80740,7340,14680,58720,Toyota,Camry,2014,Y
10,26,2008-06-11,IN,2000,765.64,0,MALE,MD,sales,not-in-family,0,-22200,2015-02-16,Multi-vehicle Collision,Major Damage,SC,Northbrook,3,3,?,0,3,31350,2850,5700,22800,Honda,Accord,2001,Y
158,33,2013-12-04,OH,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,other-relative,0,-38600,2015-01-04,Single Vehicle Collision,Total Loss,SC,Hillsdale,0,1,?,0,0,35000,3500,7000,24500,Suburu,Legacy,2012,N
436,59,2010-08-21,OH,1000,1338.55,0,MALE,PhD,protective-serv,own-child,39000,0,2015-01-12,Multi-vehicle Collision,Total Loss,WV,Hillsdale,10,3,?,2,2,68000,13600,6800,47600,Toyota,Corolla,2014,N
91,30,2010-06-18,IL,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,unmarried,43900,0,2015-01-08,Multi-vehicle Collision,Minor Damage,SC,Northbend,13,3,YES,2,0,84500,13000,13000,58500,BMW,X6,2009,N
256,42,1992-04-10,IL,1000,1286.44,0,FEMALE,MD,transport-moving,wife,0,-39500,2015-01-22,Single Vehicle Collision,Minor Damage,WV,Northbend,14,1,NO,2,1,75500,7550,15100,52850,Nissan,Ultima,1998,N
274,46,1997-02-03,OH,1000,1372.18,0,MALE,High School,exec-managerial,not-in-family,0,0,2015-01-13,Multi-vehicle Collision,Total Loss,WV,Riverwood,22,3,NO,1,3,90600,15100,15100,60400,BMW,X5,2009,N
275,45,1991-12-06,IN,2000,1447.77,0,FEMALE,Associate,adm-clerical,wife,39400,-63900,2015-01-18,Multi-vehicle Collision,Total Loss,VA,Northbend,8,3,YES,1,1,64320,5360,10720,48240,Accura,MDX,1998,N
1,33,1995-09-19,IL,500,903.32,0,FEMALE,High School,transport-moving,not-in-family,0,0,2015-01-19,Multi-vehicle Collision,Minor Damage,NY,Northbend,1,3,?,1,0,31700,6340,3170,22190,Toyota,Highlander,2006,N
85,30,1993-10-29,IN,1000,1454.42,0,MALE,Associate,protective-serv,other-relative,51600,-73900,2015-01-31,Single Vehicle Collision,Major Damage,NY,Springfield,19,1,YES,0,1,74280,12380,12380,49520,Suburu,Forrestor,2006,Y
233,37,1991-11-03,IL,2000,1603.42,0,FEMALE,High School,sales,wife,61600,-30200,2015-02-06,Single Vehicle Collision,Total Loss,NY,Columbus,17,1,YES,0,2,80520,13420,6710,60390,Toyota,Corolla,2005,N
142,30,2002-07-09,IN,2000,1616.58,0,MALE,JD,adm-clerical,husband,58500,-46800,2015-02-04,Multi-vehicle Collision,Major Damage,SC,Hillsdale,13,3,YES,0,3,63600,6360,12720,44520,Dodge,RAM,2010,N
266,44,1999-12-07,IL,500,1611.83,0,MALE,High School,handlers-cleaners,husband,0,0,2015-01-02,Single Vehicle Collision,Total Loss,WV,Riverwood,4,1,?,1,2,32800,3280,3280,26240,BMW,3 Series,2012,N
350,50,2005-07-01,OH,500,889.13,0,FEMALE,Masters,priv-house-serv,other-relative,0,0,2015-02-26,Multi-vehicle Collision,Total Loss,PA,Northbend,14,3,NO,0,2,44190,9820,4910,29460,Audi,A3,2015,N
97,26,1991-11-04,IL,1000,1252.08,0,MALE,College,exec-managerial,not-in-family,0,0,2015-02-08,Multi-vehicle Collision,Major Damage,VA,Springfield,4,2,YES,2,2,50400,10080,5040,35280,Honda,CRV,2000,Y
399,55,1993-04-14,IL,2000,995.56,0,MALE,JD,tech-support,not-in-family,0,-65400,2015-02-07,Multi-vehicle Collision,Total Loss,NY,Northbend,23,3,YES,1,1,88400,17680,8840,61880,Nissan,Pathfinder,2010,N
305,49,2009-08-23,IL,2000,1347.92,0,FEMALE,High School,farming-fishing,own-child,0,-42100,2015-02-17,Multi-vehicle Collision,Total Loss,NY,Hillsdale,21,3,YES,0,2,66550,12100,6050,48400,Volkswagen,Jetta,2003,N
276,47,1993-06-18,IN,1000,1724.09,0,MALE,PhD,craft-repair,own-child,0,0,2015-01-12,Multi-vehicle Collision,Minor Damage,NY,Arlington,23,3,YES,0,0,65780,5980,11960,47840,Chevrolet,Tahoe,2014,N
257,40,2012-07-17,IN,500,1379.93,0,MALE,MD,armed-forces,husband,0,0,2015-02-01,Multi-vehicle Collision,Major Damage,NY,Columbus,6,3,?,0,2,51810,9420,4710,37680,Audi,A3,2002,Y
78,31,1999-01-25,IN,1000,1554.64,4000000,MALE,PhD,protective-serv,own-child,0,-27900,2015-02-03,Single Vehicle Collision,Major Damage,WV,Springfield,21,1,NO,1,0,55660,5060,10120,40480,Honda,CRV,2009,Y
129,28,1990-02-23,OH,1000,1377.94,0,MALE,Masters,machine-op-inspct,not-in-family,0,0,2015-02-21,Single Vehicle Collision,Major Damage,NY,Springfield,23,1,?,2,3,44640,9920,4960,29760,Toyota,Camry,2005,N
283,46,2000-08-30,IL,2000,1313.33,0,FEMALE,PhD,transport-moving,husband,53500,-73600,2015-01-09,Multi-vehicle Collision,Major Damage,NY,Riverwood,3,3,?,1,3,77660,7060,14120,56480,Nissan,Maxima,2004,Y
85,25,2008-09-03,IN,500,1259.02,0,FEMALE,JD,tech-support,unmarried,67000,-53600,2015-02-16,Parked Car,Trivial Damage,SC,Northbend,8,1,NO,2,2,5640,940,940,3760,Nissan,Ultima,2005,N
101,26,1991-08-02,IL,1000,1371.88,0,FEMALE,MD,prof-specialty,husband,0,0,2015-02-04,Parked Car,Trivial Damage,VA,Arlington,4,1,?,2,2,3190,580,580,2030,Suburu,Legacy,1995,N
96,30,2001-09-25,OH,500,1399.27,6000000,MALE,College,prof-specialty,wife,38900,-48700,2015-02-24,Single Vehicle Collision,Total Loss,NC,Arlington,22,1,?,0,0,53440,0,6680,46760,Ford,Escape,2004,N
121,31,2007-03-11,IL,1000,1061.98,6000000,FEMALE,JD,armed-forces,unmarried,0,0,2015-02-01,Single Vehicle Collision,Minor Damage,WV,Hillsdale,16,1,NO,0,1,65250,7250,7250,50750,BMW,3 Series,2002,N
176,39,2010-11-20,OH,500,1365.46,4000000,MALE,College,armed-forces,unmarried,0,-56600,2015-02-05,Multi-vehicle Collision,Minor Damage,SC,Columbus,14,3,NO,2,1,44280,4920,4920,34440,Chevrolet,Silverado,2008,N
159,37,1998-08-28,IL,1000,894.4,0,MALE,Associate,tech-support,wife,0,-53700,2015-01-07,Single Vehicle Collision,Total Loss,NY,Springfield,13,1,YES,2,0,70290,7810,7810,54670,Dodge,RAM,1999,N
120,30,2002-07-16,IN,500,956.69,0,FEMALE,Associate,priv-house-serv,husband,39600,-64300,2015-02-06,Single Vehicle Collision,Minor Damage,NY,Hillsdale,20,1,?,1,1,87100,8710,8710,69680,Saab,92x,2000,N
212,35,1990-04-29,IN,2000,1123.89,0,MALE,MD,priv-house-serv,unmarried,35400,-49200,2015-01-21,Multi-vehicle Collision,Total Loss,NY,Columbus,0,3,?,1,3,50380,4580,4580,41220,Suburu,Forrestor,1996,N
290,45,1998-02-01,IL,500,1085.03,0,FEMALE,JD,sales,wife,0,-61000,2015-03-01,Multi-vehicle Collision,Total Loss,VA,Arlington,23,3,YES,2,2,64800,12960,6480,45360,Audi,A3,2014,Y
299,42,2008-07-20,OH,2000,1437.33,0,FEMALE,Associate,craft-repair,wife,25000,0,2015-02-24,Single Vehicle Collision,Minor Damage,SC,Columbus,13,1,YES,1,3,70400,12800,12800,44800,BMW,3 Series,2000,N
66,26,1998-11-13,IL,1000,988.29,0,MALE,College,armed-forces,own-child,0,0,2015-02-02,Single Vehicle Collision,Major Damage,NY,Northbend,8,1,?,2,2,57860,0,10520,47340,Suburu,Impreza,2008,Y
334,47,2001-05-24,IL,500,1238.89,0,MALE,Masters,protective-serv,other-relative,0,0,2015-01-31,Vehicle Theft,Minor Damage,WV,Northbend,3,1,?,0,3,6240,960,960,4320,Ford,Fusion,2011,N
216,38,2014-06-03,IN,1000,1384.64,5000000,FEMALE,Associate,tech-support,unmarried,0,0,2015-01-09,Single Vehicle Collision,Total Loss,VA,Columbus,16,1,?,2,3,66600,16650,11100,38850,Jeep,Grand Cherokee,2012,Y
86,28,1991-08-22,IN,2000,1595.07,0,MALE,PhD,transport-moving,unmarried,75800,0,2015-02-23,Single Vehicle Collision,Minor Damage,VA,Hillsdale,19,1,YES,0,2,70920,11820,11820,47280,Jeep,Wrangler,2002,N
429,56,1998-12-12,OH,1000,1127.89,6000000,MALE,Associate,machine-op-inspct,own-child,67400,-43800,2015-01-28,Single Vehicle Collision,Minor Damage,WV,Springfield,0,1,YES,2,0,39480,6580,6580,26320,Suburu,Forrestor,2002,N
257,43,1999-02-18,IN,2000,929.7,6000000,FEMALE,PhD,handlers-cleaners,husband,46400,-74300,2015-01-14,Single Vehicle Collision,Total Loss,VA,Arlington,12,1,?,2,2,63240,10540,5270,47430,Mercedes,E400,2005,N
15,34,1997-10-30,IL,1000,1829.63,0,MALE,JD,tech-support,not-in-family,56700,0,2015-02-03,Multi-vehicle Collision,Total Loss,SC,Arlington,21,3,YES,1,0,67650,12300,6150,49200,Audi,A5,2009,N
230,39,1999-11-29,IL,1000,904.7,7000000,FEMALE,MD,craft-repair,unmarried,68600,-22300,2015-02-17,Single Vehicle Collision,Major Damage,SC,Riverwood,0,1,?,1,3,74200,14840,14840,44520,Accura,TL,2002,Y
250,43,2013-07-07,OH,1000,1243.84,0,FEMALE,JD,tech-support,own-child,47900,-73400,2015-01-30,Single Vehicle Collision,Minor Damage,VA,Columbus,22,1,YES,1,3,64900,12980,12980,38940,Volkswagen,Jetta,2011,N
270,44,2003-07-05,IL,2000,1030.95,0,FEMALE,Associate,machine-op-inspct,other-relative,47200,0,2015-02-03,Multi-vehicle Collision,Major Damage,NC,Northbend,20,3,?,1,0,35900,7180,3590,25130,Audi,A3,2007,Y
65,26,2005-09-21,IN,500,1285.03,3000000,FEMALE,High School,craft-repair,unmarried,0,-41500,2015-02-03,Single Vehicle Collision,Minor Damage,VA,Riverwood,0,1,NO,1,3,52200,5220,10440,36540,Honda,CRV,2011,N
475,57,1995-02-18,OH,500,1216.56,0,MALE,Masters,adm-clerical,own-child,67400,-83200,2015-01-31,Single Vehicle Collision,Minor Damage,SC,Hillsdale,20,1,?,0,2,78000,6500,13000,58500,Suburu,Forrestor,2000,N
77,27,1999-04-07,IN,2000,966.26,0,FEMALE,High School,adm-clerical,own-child,56400,-32800,2015-02-06,Multi-vehicle Collision,Minor Damage,NY,Springfield,1,3,YES,0,0,67200,6720,6720,53760,Volkswagen,Passat,1995,N
256,43,2014-12-13,OH,500,1203.17,0,FEMALE,MD,prof-specialty,unmarried,56700,-65600,2015-02-06,Single Vehicle Collision,Total Loss,WV,Hillsdale,11,1,NO,0,0,63250,11500,5750,46000,Nissan,Ultima,1997,N
229,37,1997-06-01,IL,2000,1212.12,0,FEMALE,MD,craft-repair,not-in-family,65600,0,2015-01-29,Multi-vehicle Collision,Major Damage,WV,Columbus,14,3,YES,1,1,68760,11460,5730,51570,Ford,Fusion,1995,N
110,28,2013-07-13,OH,1000,1573.93,0,MALE,College,other-service,other-relative,30400,0,2015-01-07,Multi-vehicle Collision,Minor Damage,NY,Springfield,20,3,YES,0,2,65040,10840,10840,43360,Suburu,Impreza,2010,N
177,33,2002-12-30,IL,1000,1609.67,0,MALE,College,adm-clerical,wife,0,-13200,2015-01-20,Single Vehicle Collision,Major Damage,SC,Springfield,22,1,?,1,3,82800,20700,13800,48300,Jeep,Grand Cherokee,2004,Y
